AGE,AMT1
56,37600
56,40200
35,8500
54,275700
41,22900
38,2700
56,88400
44,106400
62,5600
55,279000
53,19800
18,102800
56,65800
45,267600
49,109100
40,121500
61,109700
42,6400
44,6400
46,50100
50,90400
53,256400
10,8500
58,17800
44,78900
9,-13100
9,13100
9,6600
35,24800
50,10700
67,12000
47,108900
44,78900
30,6400
45,66000
50,81000
43,78900
7,12760
30,12000
42,369100
14,29900
53,15800
34,45700
51,17600
45,22800
49,6400
41,13800
36,60850
60,8500
37,107500
37,107500
37,-107500
35,26400
61,7200
30,115750
36,6400
52,113600
66,78900
58,78900
45,105200
43,96400
37,78900
35,78900
48,7400
4,8100
57,78900
75,6400
42,11000
52,256400
37,900
37,358700
37,-359800
37,359800
16,42500
9,6400
56,53800
64,18000
69,267200
45,74300
32,25300
71,90700
24,12600
34,138200
20,37900
31,6400
31,-78900
31,78900
35,10000
13,36800
52,107200
52,330600
26,17200
56,22300
36,12700
5,95200
48,90000
48,9100
37,12600
41,267200
8,17600
21,88500
74,34800
43,80410
74,13300
70,24200
29,272900
61,6400
36,122600
4,4600
30,102900
37,24500
29,10000
29,6400
44,20100
58,26300
50,8500
41,258500
11,9100
44,6400
12,155800
43,78900
32,6400
6,81800
46,127900
15,20000
34,30500
35,6400
42,11200
54,94400
54,9000
76,107500
52,6400
41,248300
46,406400
47,78900
5,56200
2,11700
33,6400
49,107500
41,23000
91,40800
44,197900
64,6400
68,6400
55,121600
43,6400
11,48600
52,6400
66,6400
66,19300
44,89900
44,-98900
44,98900
10,30100
63,12200
33,13100
55,27200
43,120400
52,246200
55,14800
37,6400
69,100000
69,256400
44,5300
37,268400
9,23500
37,74900
53,65800
37,34900
51,6400
51,6400
38,272900
37,109300
37,108400
36,20000
51,6400
68,6400
37,6400
45,16400
45,256400
47,6400
44,6400
41,12600
42,6400
65,6400
24,56400
55,106400
34,12400
34,12300
7,14200
7,8500
41,6400
29,11200
42,-31500
42,31500
69,11000
60,6400
56,86900
24,8500
47,87400
68,109600
72,271200
72,120400
44,23400
44,264200
72,6400
34,12200
31,13100
44,6400
47,11900
35,3000
35,13600
17,32300
28,39900
47,6400
38,106400
66,15590
46,173100
60,22300
30,76900
38,6400
37,41800
62,98400
39,272000
77,59400
77,256400
57,78900
46,256400
42,6400
42,323700
36,6400
67,17600
50,81000
51,27500
28,73100
17,16400
51,24900
14,42200
14,-42200
14,45500
40,78900
40,421200
5,46200
12,72000
29,20000
37,256400
35,20400
62,200
62,11400
2,17900
43,271200
61,13300
56,38300
5,59900
52,35300
9,-6400
9,6400
38,6400
64,78900
53,6400
40,78900
46,206110
41,10400
67,6400
35,78900
53,6400
9,12300
31,266600
62,13100
57,78900
38,6400
35,33500
41,8500
72,14300
72,101900
52,8000
64,200000
64,50000
20,10000
41,472900
47,26300
52,6400
45,76400
45,69600
66,6400
38,6400
11,96400
44,6400
12,6400
32,6400
41,14300
42,6400
68,6400
50,6400
55,-22000
55,22000
42,124700
60,6400
64,161700
61,3000
61,88600
54,4500
61,6400
52,13100
5,9800
41,37300
41,35400
46,19900
1,9800
72,6400
44,101800
45,10700
58,9400
61,6400
63,14300
22,15000
73,7200
11,38500
41,23000
6,36300
42,16900
50,350000
59,12000
59,-12300
59,12300
79,29000
35,90800
70,16300
55,20400
62,34600
36,5200
56,46900
60,32900
73,12000
4,9100
11,42200
36,6400
41,30200
11,26000
11,71800
54,131300
